Edge ID,Start ID,End ID,Distance
0,0,5,40.444225
1,0,2,10.284244
2,0,1,5.394655
3,118,121,10.404842
4,118,119,7.169434
5,118,120,7.169434
6,236,237,2.757324
7,236,239,4.156042
8,236,238,3.924126
9,354,356,22.312954
10,354,355,18.28474
11,354,357,29.167412
12,472,479,41.209705
13,472,473,5.470703
14,472,475,20.807907
15,590,591,1.681666
16,590,596,11.623416
17,590,598,12.331996
18,708,709,3.557746
19,708,714,12.489118
20,708,710,3.875177
21,826,827,2.845864
22,826,829,7.848447
23,826,835,14.676193
24,944,953,10.955639
25,944,946,3.690659
26,944,945,3.025976
27,1062,1064,4.346311
28,1062,1063,4.15599
29,1062,1070,19.712446
30,1063,1066,7.509731
31,1066,1068,2.383826
32,1066,1072,9.164794
33,1066,1097,27.214722
34,723,725,4.183266
35,714,723,7.719613
36,723,724,3.241517
37,715,723,7.471578
38,723,743,10.682136
39,1180,1184,8.774674
40,1180,1181,3.942832
41,1180,1185,9.296522
42,1180,1182,4.832652
43,1298,1299,4.15599
44,1372,1385,3.267583
45,1344,1372,9.952278
46,1361,1372,4.219691
47,1416,1417,5.363073
48,1534,1542,15.507848
49,1534,1536,6.655565
50,1534,1535,3.308594
51,660,682,7.782727
52,682,687,2.684077
53,682,692,4.83263
54,687,694,2.384259
55,687,698,4.109514
56,1652,1656,9.737236
57,1652,1653,7.474405
58,1652,1654,8.736719
59,1652,1655,8.739222
60,1770,1772,18.155844
61,1770,1771,4.767972
62,1888,1893,14.13198
63,1888,1896,18.321989
64,1888,1889,8.919381
65,2006,2007,13.70173
66,1889,1891,1.802565
67,1891,1892,0.429931
68,2124,2127,2.362348
69,2124,2126,1.824857
70,2124,2125,1.66244
71,2242,2244,8.198838
72,2242,2243,1.678889
73,2360,2362,10.804247
74,2360,2364,35.302685
75,2360,2365,61.679562
76,2360,2361,5.447706
77,2478,2481,10.240502
78,2478,2479,5.15948
79,2478,2480,8.486403
80,2596,2597,6.071777
81,2714,2715,4.226807
82,2714,2718,10.920719
83,2714,2717,10.009618
84,2714,2716,8.991181
85,121,128,7.474405
86,121,125,4.961925
87,2832,2840,16.031334
88,2832,2833,3.924126
89,2832,2835,6.228347
90,2950,2952,9.605927
91,2950,2951,3.57231
92,2950,2954,12.73351
93,406,415,5.839122
94,415,424,5.609009
95,415,423,4.295484
96,2238,3068,5.825723
97,3068,3069,3.026338
98,3073,3077,12.680176
99,3073,3075,6.107159
100,3073,3078,13.429895
101,3073,3074,5.514893
102,3095,3117,12.728061
103,3107,3117,5.559689
104,3117,3131,6.066406
105,3117,3150,13.422839
106,3191,3192,5.724172
107,3191,3193,8.253264
108,3239,3264,7.06599
109,3239,3255,5.646353
110,3208,3239,10.938775
111,3239,11301,20.968628
112,3309,3315,151.151871
113,3309,3313,144.071564
114,3309,3310,49.445099
115,3427,3429,4.262878
116,3427,3430,14.880067
117,3427,3428,3.860352
118,3545,3550,9.157715
119,3545,3548,6.107187
120,3545,3546,3.860352
121,3663,3664,4.767652
122,3663,3666,7.988023
123,3663,3665,5.402024
124,3663,3672,14.787172
125,3781,3796,32.807522
126,3781,3782,13.105939
127,1185,1190,5.367854
128,1185,1188,3.096763
129,1185,1193,6.519123
130,3899,3900,2.757324
131,3899,3903,7.397811
132,3899,3901,4.473618
133,3899,3902,6.655565
134,4017,4018,4.345939
135,4017,4020,4.832296
136,4017,4019,4.473234
137,4019,4021,5.649699
138,4019,4026,8.692622
139,4019,4023,6.519439
140,1303,1308,3.383263
141,1303,1312,5.201401
142,1301,1303,2.693952
143,4135,4137,6.274108
144,4135,4136,5.046451
145,4135,4145,15.243151
146,4253,4254,4.412109
147,4253,4255,5.635742
148,3824,3851,12.787581
149,3808,3824,8.647599
150,4371,4372,4.963867
151,4371,4376,13.23584
152,4371,4375,12.187331
153,4489,4490,7.748535
154,4607,4616,14.476487
155,4607,4609,6.086285
156,4607,4610,7.381783
157,4607,4608,6.086002
158,1537,1538,3.474991
159,1537,1568,22.569378
160,1535,1537,4.447424
161,4725,4726,3.385422
162,2017,2029,45.768185
163,2029,2031,5.218861
164,2126,2130,2.486725
165,2126,2128,2.252963
166,2147,2149,3.522217
167,2147,2155,9.161293
168,2141,2147,7.397993
169,709,716,11.414032
170,709,711,5.541227
171,2312,2349,11.271486
172,2349,5555,3.592773
173,2349,174921,8.272461
174,2274,2287,4.467533
175,2287,2303,5.635254
176,2287,2299,4.412109
177,2264,2274,4.931152
178,2264,2296,13.787109
179,2252,2264,7.065971
180,2264,2269,6.066406
181,894,911,4.931152
182,911,918,2.206055
183,911,919,2.757568
184,242,254,11.406571
185,240,242,2.719966
186,3192,3194,4.473468
187,3192,3200,9.11934
188,3192,3195,6.109696
189,1006,1016,3.096768
190,989,1006,6.435083
191,997,1006,3.924038
192,1006,1025,7.382176
193,4843,4844,2.871335
194,4843,4845,2.871335
195,4843,4848,7.393438
196,1168,1286,31.464804
197,1273,1286,4.832986
198,1249,1286,11.827814
199,4156,4171,16.172861
